transaction_id,date,product_id,machine_id,planned_units,units_produced,units_defective,planned_duration,actual_duration
161,2025-08-06,P095,M072,994,857,55,434,442
162,2025-05-09,P026,M066,936,872,7,587,674
163,2025-03-18,P084,M063,163,162,10,177,171
164,2025-02-22,P013,M050,147,125,2,394,443
165,2025-02-26,P091,M016,126,107,5,409,524
166,2025-12-11,P020,M003,634,576,43,414,440
167,2025-07-01,P054,M024,308,273,17,344,459
168,2025-02-20,P093,M073,735,652,22,546,665
169,2025-08-21,P062,M040,516,504,19,122,127
170,2025-02-10,P091,M037,759,717,52,210,244
171,2025-12-02,P071,M069,653,623,3,95,128
172,2025-10-03,P068,M016,858,842,54,478,636
173,2025-11-30,P078,M062,985,887,11,540,566
174,2025-03-29,P031,M002,287,260,19,337,374
175,2025-05-29,P069,M056,308,264,18,283,356
176,2025-11-08,P070,M061,259,230,17,93,95
177,2025-11-03,P027,M067,406,378,27,511,565
178,2025-11-28,P098,M069,297,265,1,546,609
179,2025-05-17,P072,M006,544,537,13,221,206
180,2025-07-29,P080,M069,619,614,31,163,159
181,2025-06-06,P014,M042,888,859,13,400,527
182,2025-08-21,P020,M016,989,984,58,336,326
183,2025-01-23,P054,M059,104,91,6,495,678
184,2025-02-19,P028,M039,960,857,66,472,426
185,2025-05-10,P052,M014,278,262,7,192,266
186,2025-12-11,P004,M073,530,525,20,503,681
187,2025-04-17,P078,M044,624,544,42,379,452
188,2025-12-16,P014,M010,109,103,2,88,103
189,2025-04-20,P077,M061,697,645,33,392,402
190,2025-06-04,P072,M028,526,447,19,64,86
191,2025-11-13,P020,M024,575,566,18,564,571
192,2025-08-22,P095,M037,125,114,2,258,334
193,2025-12-02,P068,M056,307,289,11,364,498
194,2025-10-17,P049,M023,488,420,11,356,490
195,2025-12-04,P034,M058,627,562,24,464,557
196,2025-11-15,P088,M020,762,749,59,334,396
197,2025-09-11,P077,M009,318,287,20,477,527
198,2025-11-24,P014,M013,912,883,63,236,272
199,2025-09-30,P063,M023,470,449,18,450,498
200,2025-08-18,P014,M025,715,653,33,431,394
201,2025-06-21,P038,M001,475,470,34,542,608
202,2025-03-26,P090,M003,829,813,35,183,239
203,2025-01-17,P081,M068,762,729,27,546,704
204,2025-03-30,P002,M034,137,117,1,152,211
205,2025-04-19,P043,M029,443,378,29,569,760
206,2025-08-05,P041,M060,946,809,13,521,584
207,2025-01-10,P004,M067,887,793,7,296,284
208,2025-03-01,P046,M051,672,605,45,569,768
209,2025-02-22,P043,M018,979,920,16,375,443
210,2025-07-25,P089,M065,240,232,11,312,371
211,2025-06-10,P095,M036,899,823,28,388,410
212,2025-02-06,P037,M035,508,456,6,363,405
213,2025-09-18,P021,M056,795,715,42,489,580
214,2025-05-10,P047,M017,292,291,7,310,402
215,2025-07-27,P031,M005,510,469,4,597,827
216,2025-06-02,P065,M072,548,482,19,203,244
217,2025-05-19,P019,M061,277,268,4,306,296
218,2025-01-12,P065,M009,941,900,19,100,105
219,2025-10-05,P056,M057,831,707,21,518,700
220,2025-03-13,P083,M062,307,301,9,485,520
221,2025-02-01,P022,M073,711,694,35,504,637
222,2025-09-24,P036,M005,671,615,12,80,74
223,2025-09-28,P017,M043,965,887,50,318,394
224,2025-02-05,P089,M020,945,909,72,462,588
225,2025-06-27,P025,M016,694,673,26,523,529
226,2025-06-08,P058,M015,283,282,10,161,224
227,2025-06-14,P068,M031,575,537,6,181,193
228,2025-06-17,P081,M050,237,225,3,307,378
229,2025-09-18,P058,M027,336,299,12,387,412
230,2025-11-23,P077,M037,584,569,31,105,115
231,2025-11-26,P076,M061,420,371,7,223,206
232,2025-05-07,P099,M010,197,169,1,119,150
233,2025-10-01,P031,M026,337,305,1,369,355
234,2025-12-24,P058,M060,219,209,3,64,86
235,2025-07-26,P007,M015,192,179,10,353,423
236,2025-04-30,P080,M061,940,835,56,571,554
237,2025-03-26,P043,M014,532,481,22,153,166
238,2025-10-02,P078,M058,253,246,18,547,654
239,2025-03-05,P008,M040,158,143,4,262,345
240,2025-09-05,P052,M009,249,246,5,155,147
241,2025-06-20,P072,M022,781,755,49,253,233
242,2025-02-05,P085,M026,751,697,20,133,144
243,2025-06-28,P061,M016,176,156,0,307,429
244,2025-08-19,P082,M068,915,790,40,372,348
245,2025-02-12,P059,M027,851,739,15,200,189
246,2025-09-16,P069,M017,488,470,36,476,502
247,2025-01-21,P049,M021,158,154,8,346,324
248,2025-10-30,P086,M055,675,637,29,378,490
249,2025-09-02,P041,M071,659,617,6,189,216
250,2025-04-26,P050,M005,853,828,48,234,298
251,2025-04-21,P026,M062,531,497,36,256,271
252,2025-11-04,P035,M029,749,707,31,232,256
253,2025-12-05,P061,M021,609,565,14,95,107
254,2025-04-19,P081,M044,852,829,30,116,116
255,2025-05-08,P047,M022,600,562,13,364,351
256,2025-08-01,P094,M052,448,420,7,539,550
257,2025-07-16,P039,M035,528,517,11,431,407
258,2025-06-07,P045,M004,149,148,3,235,252
259,2025-08-24,P007,M031,411,390,4,599,755
260,2025-11-04,P072,M013,576,501,30,481,456
261,2025-02-18,P007,M021,563,557,11,135,137
262,2025-09-07,P074,M005,980,969,6,238,239
263,2025-12-26,P057,M040,972,914,34,544,726
264,2025-04-04,P001,M034,145,124,7,171,186
265,2025-10-03,P100,M068,648,551,23,549,494
266,2025-05-21,P050,M038,783,686,40,193,178
267,2025-12-14,P003,M035,185,165,1,481,526
268,2025-10-09,P083,M028,657,647,31,342,467
269,2025-01-23,P098,M069,621,616,47,500,660
270,2025-10-19,P034,M055,726,724,22,151,205
271,2025-01-13,P048,M046,893,781,52,225,226
272,2025-10-13,P035,M036,570,508,33,486,594
273,2025-11-05,P039,M021,239,219,12,383,369
274,2025-08-24,P009,M071,273,240,4,510,682
275,2025-06-26,P035,M017,380,343,10,173,188
276,2025-11-19,P016,M054,889,763,43,290,294
277,2025-05-15,P096,M003,509,434,17,135,155
278,2025-10-12,P046,M005,648,619,41,321,343
279,2025-11-20,P027,M041,418,411,3,114,110
280,2025-09-20,P008,M073,871,770,11,61,56
281,2025-03-21,P027,M019,672,634,14,528,602
282,2025-03-16,P095,M054,108,106,4,585,638
283,2025-06-20,P042,M052,243,224,1,270,320
284,2025-09-08,P088,M028,497,442,6,367,487
285,2025-10-22,P028,M047,200,199,11,195,254
286,2025-09-01,P081,M042,665,569,18,489,601
287,2025-02-23,P099,M067,263,250,11,544,579
288,2025-01-15,P094,M040,911,866,32,344,446
289,2025-09-24,P079,M033,639,609,16,267,370
290,2025-11-03,P088,M029,851,767,16,331,458
291,2025-01-28,P034,M059,931,845,6,589,805
292,2025-04-17,P001,M023,237,221,12,389,539
293,2025-06-26,P062,M036,500,490,20,115,126
294,2025-05-06,P064,M025,452,387,28,511,545
295,2025-03-01,P068,M051,623,566,41,316,324
296,2025-10-24,P045,M008,144,143,7,572,706
297,2025-06-13,P053,M029,826,739,16,284,386
298,2025-02-14,P017,M007,698,603,12,293,323
299,2025-03-28,P033,M035,814,718,29,361,395
300,2025-04-19,P094,M040,398,387,7,360,332
301,2025-11-06,P065,M016,641,559,40,91,89
302,2025-05-26,P025,M018,318,273,19,573,699
303,2025-01-09,P014,M043,379,356,19,240,269
304,2025-04-30,P088,M040,655,586,28,593,717
305,2025-08-03,P009,M039,270,263,16,66,70
306,2025-02-11,P055,M020,477,418,16,181,212
307,2025-09-08,P029,M037,619,600,27,541,494
308,2025-10-04,P052,M049,847,803,63,419,419
309,2025-11-05,P076,M034,720,642,5,87,92
310,2025-09-21,P014,M027,531,490,17,522,530
311,2025-08-25,P007,M053,305,281,22,306,284
312,2025-10-22,P005,M023,649,552,17,218,288
313,2025-04-14,P042,M068,338,293,22,427,398
314,2025-11-12,P028,M048,333,305,23,141,160
315,2025-06-17,P023,M049,767,665,15,484,666
316,2025-08-24,P091,M045,706,680,45,315,331
317,2025-05-29,P096,M054,928,863,11,569,594
318,2025-01-25,P100,M054,932,854,18,431,390
319,2025-09-26,P021,M045,966,910,5,303,385
320,2025-01-07,P011,M046,115,107,1,101,109
321,2025-06-03,P026,M013,281,270,8,119,122
322,2025-07-29,P045,M009,554,529,39,400,543
323,2025-03-30,P049,M056,279,258,4,449,530
324,2025-05-27,P016,M026,898,787,53,354,420
325,2025-12-24,P089,M019,169,154,7,438,512
326,2025-10-13,P077,M014,736,670,53,168,192
327,2025-12-24,P081,M056,814,753,10,81,76
328,2025-09-11,P093,M040,205,181,13,423,473
329,2025-02-07,P064,M028,922,839,28,597,567
330,2025-09-01,P018,M038,593,571,41,404,373
331,2025-11-30,P090,M030,880,806,13,333,462
332,2025-09-18,P019,M040,527,474,25,330,448
333,2025-04-20,P076,M046,938,887,60,533,719
334,2025-02-03,P026,M023,201,186,3,369,379
335,2025-12-22,P036,M056,725,655,13,103,109
336,2025-07-12,P061,M041,433,422,18,181,243
337,2025-08-02,P078,M045,734,688,33,421,544
338,2025-12-06,P079,M031,844,762,23,175,205
339,2025-11-18,P059,M036,898,835,16,509,465
340,2025-01-01,P074,M041,591,510,31,267,241
341,2025-07-15,P045,M058,698,623,47,99,104
342,2025-05-20,P026,M023,858,763,56,184,255
343,2025-02-05,P073,M065,131,123,1,319,306
344,2025-06-02,P039,M065,617,601,30,470,617
345,2025-03-26,P095,M015,784,771,29,520,586
346,2025-08-21,P030,M035,529,518,18,490,487
347,2025-08-08,P007,M016,900,792,26,472,457
348,2025-06-08,P047,M039,997,907,21,245,236
349,2025-01-08,P039,M028,542,513,16,127,124
350,2025-09-26,P039,M042,573,497,7,77,96
351,2025-12-07,P006,M032,591,547,5,319,421
352,2025-04-26,P044,M029,148,145,6,60,74
353,2025-02-23,P007,M013,863,815,30,376,485
354,2025-04-14,P053,M004,330,304,4,222,229
355,2025-11-07,P030,M013,204,181,1,304,356
356,2025-07-16,P067,M071,782,765,8,373,429
357,2025-11-10,P068,M067,321,310,2,97,128
358,2025-03-06,P034,M067,254,233,4,93,87
359,2025-06-05,P010,M057,810,714,27,524,598
360,2025-03-03,P033,M015,653,625,5,207,266
361,2025-11-29,P077,M053,961,834,54,268,311
362,2025-09-14,P029,M009,301,295,6,482,614
363,2025-10-27,P052,M020,369,353,6,188,188
364,2025-04-01,P084,M058,546,532,16,545,590
365,2025-06-24,P034,M005,139,128,9,366,418
366,2025-09-13,P060,M042,898,857,56,305,301
367,2025-12-30,P070,M019,189,171,4,570,591
368,2025-01-14,P085,M035,565,523,16,78,94
369,2025-11-11,P018,M060,262,230,2,235,324
370,2025-05-20,P013,M055,663,599,38,117,134
371,2025-04-30,P054,M046,119,111,4,413,490
372,2025-06-06,P066,M014,671,597,32,488,652
373,2025-04-28,P021,M046,289,262,9,499,695
374,2025-07-15,P098,M039,650,584,9,487,490
375,2025-12-01,P030,M014,792,771,9,429,454
376,2025-07-09,P082,M029,862,808,59,338,307
377,2025-12-13,P068,M030,110,96,3,479,453
378,2025-03-17,P024,M014,497,441,33,100,126
379,2025-10-21,P010,M029,886,848,58,447,467
380,2025-09-13,P031,M008,173,161,3,569,571
381,2025-09-19,P023,M030,778,671,25,137,191
382,2025-07-29,P001,M023,251,245,16,157,172
383,2025-12-21,P033,M047,832,781,21,425,573
384,2025-01-25,P015,M057,499,459,24,556,688
385,2025-02-13,P026,M017,238,205,13,199,199
386,2025-06-21,P081,M036,102,90,1,472,556
387,2025-03-28,P044,M067,647,585,34,445,427
388,2025-05-29,P087,M048,752,681,12,223,260
389,2025-07-20,P049,M071,942,915,31,498,496
390,2025-12-29,P029,M051,638,589,11,295,312
391,2025-05-10,P075,M070,725,648,49,353,432
392,2025-05-06,P061,M039,951,878,15,569,526
393,2025-10-12,P035,M049,383,338,16,249,339
394,2025-05-05,P085,M023,167,144,4,137,162
395,2025-01-09,P082,M043,675,615,26,286,345
396,2025-01-21,P094,M015,441,375,24,482,441
397,2025-11-06,P095,M014,939,837,62,217,266
398,2025-06-05,P001,M029,674,639,19,224,273
399,2025-04-10,P042,M061,510,507,18,62,80
400,2025-03-31,P074,M069,726,713,12,192,192
401,2025-07-17,P041,M053,393,360,10,412,402
402,2025-04-18,P081,M045,288,279,18,323,378
403,2025-02-28,P023,M061,729,637,48,600,816
404,2025-05-10,P078,M034,781,709,21,235,315
405,2025-01-04,P056,M051,507,456,2,405,554
406,2025-06-20,P095,M017,856,761,37,519,637
407,2025-12-08,P026,M052,599,511,32,560,763
408,2025-05-20,P017,M054,598,548,7,197,268
409,2025-09-19,P090,M051,341,319,19,491,544
410,2025-10-11,P043,M022,832,796,37,529,592
411,2025-11-23,P066,M060,541,470,34,342,413
412,2025-06-01,P075,M039,987,947,18,362,364
413,2025-08-20,P034,M026,115,113,4,396,479
414,2025-07-25,P081,M011,192,164,1,559,561
415,2025-02-27,P049,M046,290,278,2,290,282
416,2025-10-22,P007,M040,927,898,57,528,716
417,2025-11-28,P082,M013,607,569,9,98,108
418,2025-01-16,P051,M073,427,399,13,242,265
419,2025-04-07,P030,M054,193,166,12,539,522
420,2025-06-12,P021,M007,859,731,35,561,667
421,2025-12-08,P045,M012,171,169,3,173,196
422,2025-10-13,P096,M054,915,874,32,397,371
423,2025-11-25,P083,M020,620,612,38,71,77
424,2025-08-01,P063,M004,352,333,22,419,434
425,2025-04-22,P088,M008,410,394,22,423,447
426,2025-09-28,P032,M023,263,248,10,256,350
427,2025-01-09,P013,M053,321,299,18,228,219
428,2025-07-09,P097,M047,221,217,12,259,255
429,2025-04-03,P089,M032,816,764,6,378,459
430,2025-01-11,P043,M010,859,810,9,501,542
431,2025-12-18,P074,M029,667,630,31,417,425
432,2025-04-18,P079,M019,350,340,23,466,551
433,2025-04-13,P080,M039,770,654,52,412,517
434,2025-11-04,P016,M017,559,502,33,500,562
435,2025-07-07,P003,M063,875,770,14,374,502
436,2025-05-24,P051,M014,389,377,28,274,257
437,2025-01-17,P020,M065,977,904,51,369,512
438,2025-12-07,P010,M039,531,513,30,584,568
439,2025-09-29,P018,M066,379,330,8,278,305
440,2025-02-02,P008,M041,919,848,18,225,281
441,2025-09-13,P046,M046,838,817,50,394,451
442,2025-12-19,P010,M041,420,390,3,144,159
443,2025-05-09,P078,M027,912,829,34,159,197
444,2025-03-13,P027,M050,434,393,6,138,177
445,2025-07-26,P051,M010,298,258,16,332,376
446,2025-12-01,P085,M071,304,279,9,177,245
447,2025-05-14,P045,M049,583,546,37,595,562
448,2025-06-19,P005,M058,206,180,5,401,375
449,2025-11-27,P046,M055,244,240,5,480,496
450,2025-07-08,P050,M061,652,596,35,233,280
451,2025-07-07,P042,M014,222,197,14,397,494
452,2025-06-18,P082,M009,709,616,4,187,208
453,2025-02-09,P071,M035,828,793,17,350,347
454,2025-09-02,P043,M056,564,487,26,386,484
455,2025-10-19,P026,M052,347,310,10,292,364
456,2025-09-28,P015,M045,109,106,6,243,257
457,2025-06-30,P046,M039,713,647,9,119,134
458,2025-07-13,P067,M058,510,455,12,557,574
459,2025-08-12,P023,M033,354,353,9,312,410
460,2025-10-12,P044,M008,558,556,16,98,135
461,2025-02-12,P041,M001,332,287,3,63,82
462,2025-01-26,P028,M069,178,153,1,66,83
463,2025-06-01,P088,M016,604,592,43,314,359
464,2025-04-26,P078,M009,975,865,64,153,166
465,2025-02-26,P014,M005,190,182,10,153,175
466,2025-07-23,P065,M004,493,445,5,454,476
467,2025-04-30,P011,M003,874,827,50,95,122
468,2025-10-08,P032,M033,959,868,59,167,191
469,2025-08-13,P037,M031,388,347,18,585,644
470,2025-07-26,P069,M030,901,893,9,354,438
471,2025-02-15,P093,M030,974,871,32,138,180
472,2025-04-10,P064,M052,650,588,8,517,487
473,2025-06-27,P072,M060,991,895,22,416,568
474,2025-04-08,P096,M068,355,325,5,273,289
475,2025-10-15,P041,M012,715,683,32,314,436
476,2025-06-11,P057,M025,512,480,17,535,655
477,2025-09-06,P026,M019,953,910,54,114,106
478,2025-11-08,P085,M005,327,299,16,219,302
479,2025-04-27,P047,M035,617,598,18,214,214
480,2025-05-14,P091,M006,958,940,72,290,375
481,2025-08-06,P046,M009,716,715,41,396,526
482,2025-04-21,P028,M045,170,161,6,180,229
483,2025-12-17,P066,M005,155,139,4,521,655
484,2025-10-04,P049,M021,973,845,54,261,313
485,2025-06-16,P006,M035,143,124,4,110,113
486,2025-11-03,P024,M049,649,551,4,292,408
487,2025-08-14,P068,M057,718,682,21,600,821
488,2025-04-24,P016,M032,704,613,45,306,368
489,2025-07-02,P007,M048,961,891,48,210,216
490,2025-01-27,P059,M064,691,645,21,244,292
491,2025-11-16,P076,M069,238,237,16,407,514
492,2025-12-25,P055,M029,490,480,9,533,560
493,2025-11-21,P009,M014,924,838,11,333,428
494,2025-11-07,P037,M037,600,557,10,216,262
495,2025-10-25,P001,M036,852,735,23,103,121
496,2025-04-13,P069,M052,622,559,37,182,176
497,2025-11-27,P079,M060,383,377,15,130,127
498,2025-02-27,P098,M063,976,946,43,396,435
499,2025-01-20,P034,M046,177,161,2,187,231
500,2025-07-25,P029,M031,637,599,4,552,769
501,2025-05-19,P071,M038,506,504,11,217,292
502,2025-11-05,P099,M018,160,155,7,574,603
503,2025-02-06,P065,M026,837,745,32,352,372
504,2025-01-23,P042,M062,365,339,16,575,542
505,2025-03-16,P017,M048,917,900,12,324,412
506,2025-09-29,P052,M064,734,669,53,549,535
507,2025-12-28,P041,M065,171,149,10,98,128
508,2025-06-11,P008,M051,318,316,17,120,149
509,2025-10-08,P073,M060,456,396,21,578,670
510,2025-01-20,P098,M059,755,682,6,85,108
511,2025-12-27,P016,M025,869,805,7,339,380
512,2025-08-22,P092,M052,946,902,30,448,565
513,2025-09-20,P006,M038,639,617,46,571,673
514,2025-04-07,P068,M042,562,479,20,340,336
515,2025-12-26,P036,M045,525,471,34,184,181
516,2025-06-20,P052,M067,1000,952,24,270,276
517,2025-04-21,P009,M024,449,391,8,186,216
518,2025-05-16,P034,M024,315,287,18,306,399
519,2025-01-15,P068,M008,518,512,4,197,274
520,2025-07-02,P037,M036,402,390,4,441,585
521,2025-10-02,P042,M014,843,723,51,404,375
522,2025-06-08,P058,M072,371,353,12,65,71
523,2025-11-25,P058,M036,162,161,10,411,425
524,2025-05-24,P015,M047,345,332,16,67,62
525,2025-06-15,P029,M026,453,422,9,211,284
526,2025-08-13,P070,M054,930,828,28,449,508
527,2025-11-28,P096,M049,313,284,8,118,133
528,2025-12-03,P068,M031,548,540,35,197,189
529,2025-12-16,P030,M047,463,445,7,76,85
530,2025-04-20,P087,M016,283,271,2,220,261
531,2025-10-23,P038,M072,819,789,50,155,164
532,2025-07-02,P038,M004,616,586,5,208,243
533,2025-02-14,P027,M051,638,552,22,413,537
534,2025-08-11,P064,M004,383,348,15,578,690
535,2025-11-15,P085,M058,539,480,27,563,528
536,2025-01-27,P092,M007,190,189,11,374,472
537,2025-10-13,P035,M015,434,385,28,144,153
538,2025-10-09,P083,M054,929,917,54,387,479
539,2025-04-18,P068,M005,492,436,2,352,416
540,2025-02-19,P059,M049,331,317,11,421,399
541,2025-08-23,P071,M032,185,172,12,152,207
542,2025-02-15,P086,M032,592,585,40,516,625
543,2025-01-18,P068,M070,340,306,5,319,374
544,2025-05-17,P019,M017,501,488,12,387,528
545,2025-04-05,P014,M016,342,325,21,180,172
546,2025-11-07,P030,M058,425,407,23,151,150
547,2025-05-31,P057,M013,605,558,43,76,91
548,2025-10-22,P009,M025,490,443,13,341,369
549,2025-02-05,P004,M067,725,676,4,508,545
550,2025-07-12,P023,M017,645,628,33,575,677
551,2025-02-18,P072,M065,575,561,22,253,258
552,2025-06-18,P018,M031,483,466,32,272,340
553,2025-05-13,P007,M033,243,209,2,275,255
554,2025-09-25,P040,M032,123,118,7,241,297
555,2025-05-27,P001,M006,850,829,54,203,259
556,2025-12-31,P003,M068,561,537,25,146,160
